generation,trial,p,propertyType,property
16,45,0.55,e,0.9980303813674077
15,45,0.55,b,0.0
15,45,0.55,a,0.0
15,45,0.55,s,0.9931640625
15,45,0.55,c,1.0
15,45,0.55,e,0.993106334785927
14,45,0.55,b,0.0
14,45,0.55,a,0.0
14,45,0.55,s,0.9951171875
14,45,0.55,c,1.0
14,45,0.55,e,1.0
13,45,0.55,b,0.0
13,45,0.55,a,0.0009765625
13,45,0.55,s,0.9638671875
13,45,0.55,c,0.9976956909337756
13,45,0.55,e,0.9950759534185193
12,45,0.55,b,0.0
12,45,0.55,a,0.001953125
12,45,0.55,s,0.9599609375
12,45,0.55,c,0.9718187885278884
12,45,0.55,e,0.9665164832459315
11,45,0.55,b,0.0
11,45,0.55,a,0.0
11,45,0.55,s,0.98828125
11,45,0.55,c,0.9935290800576321
11,45,0.55,e,0.9940911441022232
10,45,0.55,b,0.0
10,45,0.55,a,0.0029296875
10,45,0.55,s,0.828125
10,45,0.55,c,1.0
10,45,0.55,e,0.9950759534185193
9,45,0.55,b,0.0
9,45,0.55,a,0.015625
9,45,0.55,s,0.7734375
9,45,0.55,c,0.9217222933167426
9,45,0.55,e,0.8335672255459536
8,45,0.55,b,0.0
8,45,0.55,a,0.0
8,45,0.55,s,0.93359375
8,45,0.55,c,0.9551694732523729
8,45,0.55,e,0.9340177758081591
7,45,0.55,b,0.0
7,45,0.55,a,0.0
7,45,0.55,s,1.0
7,45,0.55,c,1.0
7,45,0.55,e,1.0
6,45,0.55,b,0.0
6,45,0.55,a,0.0
6,45,0.55,s,0.982421875
6,45,0.55,c,1.0
6,45,0.55,e,1.0
5,45,0.55,b,0.0
5,45,0.55,a,0.0126953125
5,45,0.55,s,0.921875
5,45,0.55,c,0.9976956909337756
5,45,0.55,e,0.9822734323066696
4,45,0.55,b,0.0
4,45,0.55,a,0.052734375
4,45,0.55,s,0.525390625
4,45,0.55,c,0.9858050875597474
4,45,0.55,e,0.910382352217052
3,45,0.55,b,0.0
3,45,0.55,a,0.2255859375
3,45,0.55,s,0.71484375
3,45,0.55,c,0.8128121574348199
3,45,0.55,e,0.5115345791171184
2,45,0.55,b,0.0
2,45,0.55,a,0.3173828125
2,45,0.55,s,0.19140625
2,45,0.55,c,0.8154299985324126
2,45,0.55,e,0.5666839008297019
1,45,0.55,b,0.4365234375
1,45,0.55,a,0.5634765625
1,45,0.55,s,1.0
1,45,0.55,c,-0.016949152542372926
1,45,0.55,e,-0.0015510746731664075
20,44,0.55,b,0.0
20,44,0.55,a,1.0
20,44,0.55,s,0.9931640625
20,44,0.55,c,1.0
20,44,0.55,e,1.0
19,44,0.55,b,0.0
19,44,0.55,a,0.9931640625
19,44,0.55,s,0.951171875
19,44,0.55,c,0.9958333891238562
19,44,0.55,e,0.993106334785927
18,44,0.55,b,0.0
18,44,0.55,a,0.953125
18,44,0.55,s,0.94921875
18,44,0.55,c,0.960213211107067
18,44,0.55,e,0.9527291528177857
17,44,0.55,b,0.0
17,44,0.55,a,0.99609375
17,44,0.55,s,0.9912109375
17,44,0.55,c,0.9976956909337756
17,44,0.55,e,0.9960607627348155
16,44,0.55,b,0.0
16,44,0.55,a,0.9951171875
16,44,0.55,s,0.9951171875
16,44,0.55,c,0.9910468534902742
16,44,0.55,e,0.9950759534185193
15,44,0.55,b,0.0
15,44,0.55,a,1.0
15,44,0.55,s,0.998046875
15,44,0.55,c,1.0
15,44,0.55,e,1.0
14,44,0.55,b,0.0
14,44,0.55,a,0.998046875
14,44,0.55,s,0.998046875
14,44,0.55,c,1.0
14,44,0.55,e,0.9980303813674077
13,44,0.55,b,0.0
13,44,0.55,a,1.0
13,44,0.55,s,1.0
13,44,0.55,c,1.0
13,44,0.55,e,1.0
12,44,0.55,b,0.0
12,44,0.55,a,1.0
12,44,0.55,s,1.0
